                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.6575,                0.65446,                0.85583,                0.94599,                0.90191,                0.95088,                0.45908,                 1.7364,                0.69744,                0.86563,               0.000317,               0.000317,               0.000317
                     87,                 1.6733,                0.66078,                0.85695,                0.93401,                0.91049,                0.94329,                0.45553,                 1.7447,                0.69379,                 0.8673,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.6585,                 0.6503,                0.85291,                0.94306,                0.91661,                0.95351,                0.46619,                 1.7307,                0.67726,                0.86505,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.6583,                0.65186,                0.86108,                  0.927,                0.89894,                0.94801,                0.46837,                 1.7248,                0.68087,                0.86183,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.6635,                0.65274,                0.85536,                0.93913,                0.92204,                0.95443,                0.47689,                 1.7076,                 0.6855,                0.86158,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.6377,                0.64783,                0.85698,                0.93199,                0.91664,                0.95092,                0.46517,                 1.7387,                0.68109,                0.86553,               0.000218,               0.000218,               0.000218
                     92,                 1.6155,                0.63852,                0.85044,                0.93606,                0.90888,                0.94933,                0.46493,                  1.741,                0.68385,                0.86567,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.6337,                0.64119,                0.85161,                0.93384,                  0.917,                0.94934,                0.45681,                 1.7541,                 0.6801,                0.86733,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.6126,                0.62985,                0.85154,                0.93239,                0.92733,                0.95028,                0.46713,                 1.7352,                0.68072,                0.86465,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.6148,                0.62887,                0.84752,                0.92961,                  0.923,                0.94751,                0.46473,                 1.7322,                0.67555,                0.86467,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.5938,                0.62832,                0.85192,                0.93294,                0.91097,                0.94828,                0.45946,                 1.7449,                0.68364,                0.86704,               0.000119,               0.000119,               0.000119
                     97,                 1.6017,                0.63033,                0.84644,                0.93159,                 0.9153,                0.94816,                0.46399,                 1.7366,                0.68286,                0.86407,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.5972,                0.62605,                0.85037,                0.92902,                0.91964,                 0.9473,                0.46141,                 1.7419,                0.68367,                0.86559,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.5885,                0.62585,                0.85458,                0.92673,                0.92445,                0.94973,                0.46597,                 1.7386,                0.67547,                0.86456,               5.96e-05,               5.96e-05,               5.96e-05
